         27262 function calls (26164 primitive calls) in 1.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:406(SymbolicLinkerWidget)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:206(switchTab)
       12    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\transformers\utils\hub.py:255(extract_commit_hash)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\GUX\code_editor.py:442(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\response.py:573(__init__)
        1    0.000    0.000    0.000    0.000 x:\_WORK\Python\Qt\BigLinks\NITTY_GRITTY\big_links.py:68(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        2    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:1985(_get_pointer_path)
        6    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:1005(open)
        6    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
       25    0.000    0.000    0.000    0.000 {built-in method addAction}
        1    0.000    0.000    0.000    0.000 C:\Users\thewi\miniconda3\Lib\traceback.py:525(format)
